id,date,provid,provdis,provsub,type,sex,diag
61786791,2/4/2021,39,3904,390401,cat,male,neg
61785903,1/13/2021,39,3905,390501,cat,female,neg
61785902,1/13/2021,39,3901,390110,cat,female,neg
61785901,1/13/2021,39,3901,390114,cat,female,neg
61785899,1/13/2021,39,3904,390401,cat,female,neg
61791783,12/8/2021,40,4008,400801,cat,female,neg
61791778,12/8/2021,40,4008,400806,cat,male,neg
61791652,11/3/2021,40,4001,400112,cat,female,neg
61790910,9/13/2021,40,4020,402001,cat,female,neg
61790915,9/10/2021,40,4004,400401,cat,female,neg
61790521,9/8/2021,40,4019,401904,cat,female,neg
61790517,9/8/2021,40,4012,401212,cat,female,neg
61790516,9/8/2021,40,4012,401213,cat,male,neg
61790515,9/8/2021,40,4012,401205,cat,female,neg
61790514,9/8/2021,40,4012,401210,cat,female,neg
61790262,9/2/2021,40,4011,401102,cat,male,neg
61790261,9/2/2021,40,4011,401101,cat,male,neg
61790260,9/2/2021,40,4011,401104,cat,female,neg
61790259,9/1/2021,40,4021,402103,cat,female,neg
61790242,9/1/2021,40,4021,402105,cat,male,neg
61790241,9/1/2021,40,4021,402101,cat,female,neg
61790240,9/1/2021,40,4010,401016,cat,female,neg
61790239,9/1/2021,40,4010,401005,cat,female,neg
61790034,8/31/2021,40,4023,402303,cat,female,neg
61790033,8/31/2021,40,4016,401610,cat,female,neg
61790011,8/23/2021,40,4013,401301,cat,female,neg
61790010,8/23/2021,40,4013,401304,cat,female,neg
61790005,8/20/2021,40,4018,401805,cat,male,neg
61790004,8/20/2021,40,4018,401803,cat,female,neg
61789897,8/20/2021,40,4001,400101,cat,male,neg
61789893,8/19/2021,40,4017,401705,cat,male,neg
61789792,7/12/2021,40,4014,401403,cat,female,neg
61789788,6/4/2021,40,4014,401405,cat,male,neg
61789787,6/1/2021,40,4003,400305,cat,female,neg
61789786,6/1/2021,40,4002,400206,cat,female,neg
61789785,6/1/2021,40,4003,400302,cat,female,neg
61789784,5/31/2021,40,4012,401208,cat,male,neg
61788490,5/17/2021,40,4003,400304,cat,male,neg
61788489,5/17/2021,40,4003,400303,cat,male,neg
61788488,5/17/2021,40,4007,400701,cat,female,neg
61788481,4/23/2021,40,4029,402903,cat,female,neg
61788466,4/16/2021,40,4020,402002,cat,female,neg
61788460,4/2/2021,40,4006,400607,cat,female,neg
61787962,3/29/2021,40,4020,402003,cat,female,neg
61787597,3/19/2021,40,4009,400909,cat,female,neg
61787591,3/10/2021,40,4018,401807,cat,male,neg
61787593,3/9/2021,40,4007,400707,cat,female,neg
61786311,2/11/2021,40,4012,401207,cat,male,neg
61786310,2/8/2021,40,4020,402003,cat,female,neg
61785878,1/25/2021,40,4017,401701,cat,female,neg
61785968,1/8/2021,40,4012,401206,cat,male,neg
61785961,1/5/2021,40,4007,400702,cat,female,neg
